Train MSE (Top 20 DE),Validation MSE (Top 20 DE)
0.13014796,0.16098817
0.13109267,0.15118718
0.13805345,0.15413304
0.18082148,0.17501487
0.18342215,0.17700076
0.18586256,0.17809087
0.18347296,0.17693193
0.18424521,0.17819898
0.18296058,0.17628586
0.18256484,0.17698534
0.1848694,0.17795457
0.18466991,0.17779994
0.18155281,0.17574279
0.1841911,0.17715098
0.184461,0.17757763
0.18414989,0.17672475
0.18395953,0.17634718
0.18538354,0.17918597
0.1820389,0.17614943
0.18285096,0.17614655
0.18283361,0.17694922
0.1838748,0.17741585
0.18481036,0.1779542
0.18147296,0.17525595
0.18335558,0.17673759
0.18059647,0.17559892
0.18276767,0.17673953
0.18256211,0.17657675
0.1831934,0.17567074
0.18572672,0.17824213
