Train Overall MSE,Validation Overall MSE
0.00141272,0.00155566
0.001050773,0.001424279
0.001047134,0.001417756
0.000846727,0.001140941
0.000792153,0.001109867
0.000785049,0.001113402
0.000877803,0.001173396
0.00079638,0.001112861
0.000792149,0.001113397
0.000810373,0.001127528
0.000799987,0.001119134
0.000814205,0.001128279
0.000803626,0.00112188
0.000801815,0.001117617
0.000800329,0.001119677
0.000816349,0.001128016
0.000812655,0.001127258
0.00079648,0.00111669
0.000790569,0.001113687
0.000846491,0.001154037
