CEBPE+KLF1,CEBPE+RUNX1T1,CEBPE+ctrl,ETS2+CEBPE,ETS2+IKZF3,ETS2+ctrl,FOSB+IKZF3,FOSB+ctrl,FOXA3+ctrl,FOXO4+ctrl,HNF4A+ctrl,IKZF3+ctrl,KIF18B+ctrl,KIF2C+ctrl,KLF1+ctrl,MIDN+ctrl,NIT1+ctrl,PRDM1+ctrl,PTPN13+ctrl,RUNX1T1+ctrl,S1PR2+ctrl,SAMD1+UBASH3B,SAMD1+ctrl,SLC38A2+ctrl,SNAI1+ctrl,TBX2+ctrl,TBX3+TBX2,TBX3+ctrl,UBASH3B+ctrl,ZNF318+ctrl,ctrl
0.0031612695,0.0013771054,0.0038153755,0.004079664,0.015835755,0.0015894165,0.0138692595,0.0013760083,0.0028311077,0.003771113,0.0053403834,0.013722613,0.0014528892,0.001193475,0.0027102155,0.004049941,0.007032227,0.010025816,0.0026912934,0.00067449943,0.0025130645,0.010426728,0.0024825295,0.0011261485,0.002562457,0.0017741258,0.0019791876,0.0015505784,0.0010808026,0.0010170278,0.0003120991
0.0017077621,0.001646757,0.0025924856,0.003421497,0.00464511,0.0016431363,0.003243595,0.0012903466,0.001724461,0.0033392985,0.004454294,0.0034709475,0.001409337,0.00061464496,0.0012167578,0.0032680992,0.006444974,0.004347158,0.0021165647,0.0006530046,0.0020743203,0.0041873497,0.0018582917,0.0011440687,0.0022847196,0.0016836687,0.0015693398,0.0011529797,0.00077158894,0.00076804473,8.3637016e-05
0.0014166576,0.0010713077,0.00219917,0.0025788636,0.0031202761,0.0014989816,0.0026227187,0.0012408699,0.001672445,0.003247724,0.00420392,0.0030920105,0.0014277167,0.00063057017,0.0011925763,0.003080753,0.0059473165,0.004080833,0.0021727886,0.00048766908,0.0020009798,0.0034490062,0.0016715712,0.0011287335,0.0021850662,0.0016354932,0.0013523144,0.001024662,0.00075109926,0.0007902496,8.030831e-05
0.0015076482,0.0012072806,0.0019996122,0.002621246,0.003321163,0.0014291868,0.0026931742,0.0012117957,0.0016513757,0.0033668259,0.003966325,0.0037057882,0.0014205353,0.0006419377,0.0011494433,0.002948234,0.0060208244,0.003980079,0.0021745833,0.00067950593,0.0020333477,0.003437654,0.0018095868,0.0010577764,0.002506983,0.0016588336,0.0015270277,0.0010812444,0.000774218,0.00078214006,4.2793865e-05
0.0013592901,0.0009099363,0.002092132,0.0023208885,0.0028509395,0.0014099334,0.0025523377,0.0011935931,0.0015027865,0.003139888,0.00387684,0.0025672438,0.0013487092,0.0006336892,0.0010238106,0.0028161905,0.0057448684,0.0036985066,0.0020803115,0.00045882948,0.0017745581,0.0031326627,0.001545104,0.0010469989,0.0022855394,0.0016126808,0.0011415284,0.001047595,0.00066111435,0.0007618509,4.936917e-05
0.0012244241,0.0008134001,0.0017428617,0.0022696308,0.0026690897,0.0013865051,0.0022874707,0.0010029048,0.0015409808,0.0030727684,0.0038876552,0.0025134955,0.0013572546,0.0006255147,0.0010778287,0.0028534925,0.005716152,0.003750611,0.0020757595,0.00044649883,0.0017738286,0.0030871357,0.0015099839,0.0010011141,0.0021341871,0.0015408724,0.0012452058,0.0009708881,0.0007560357,0.0007509734,4.6960835e-05
0.0012863369,0.00084120384,0.001756638,0.0022775277,0.0027254685,0.0014120832,0.0023950965,0.0009956153,0.001549626,0.003086809,0.0039391727,0.00266798,0.001380109,0.0006355742,0.0010289699,0.0028539184,0.005754427,0.0038682346,0.0021114121,0.00047308128,0.0018026972,0.0031484126,0.0015504342,0.001001321,0.0021656936,0.0015456327,0.0010797855,0.00092524645,0.00065306254,0.0007544884,5.95092e-05
0.0012512703,0.00088260014,0.0018520436,0.0023730455,0.0026553338,0.0013778826,0.0022834588,0.0009867322,0.0015332386,0.0031337484,0.0038899956,0.0024221884,0.0013720376,0.0006353011,0.0010195002,0.0028693823,0.0057488396,0.00373667,0.002107108,0.00047956483,0.0017724656,0.0031417322,0.0015641927,0.001001282,0.0021860152,0.0015719087,0.0010949541,0.00093827344,0.0006461656,0.0007627356,4.8740043e-05
0.0012451463,0.0008275639,0.0018427748,0.0023244168,0.0027722437,0.0013767256,0.002433932,0.000977721,0.0015280166,0.0031186268,0.0038830542,0.0026067721,0.0013931551,0.0006532495,0.0010323533,0.0028478648,0.00573882,0.0038448845,0.0021309126,0.000499553,0.0018007937,0.0031714027,0.0015719247,0.0009980416,0.002181514,0.0015658619,0.0012170429,0.0009158815,0.00064482086,0.0007740252,4.8742688e-05
0.0012511804,0.0008478346,0.0018641227,0.0023663356,0.0027104374,0.0013774242,0.0023443413,0.0010051377,0.0015123795,0.0031601032,0.00388812,0.0024138652,0.0013604683,0.000636856,0.0010020182,0.0028447167,0.0057453876,0.003717038,0.0021134068,0.00048616156,0.0017730446,0.0031228068,0.0015761049,0.0010024749,0.002186516,0.0015585751,0.0011542914,0.00093406474,0.00064238213,0.0007628379,4.7629797e-05
