Train Overall MSE,Validation Overall MSE
0.005221963,0.006726751
0.006389779,0.007396396
0.004855543,0.006026404
0.003323768,0.004721577
0.003057487,0.004578982
0.003063386,0.004301401
0.002634484,0.003923155
0.00259232,0.003968962
0.002557847,0.00391648
0.002607266,0.003991801
0.002544181,0.003922364
0.002541039,0.003878512
0.002536399,0.003909016
0.002575967,0.003973267
0.002563927,0.003966001
0.002534476,0.003910092
0.002529653,0.003910372
0.002587196,0.003996017
0.002553741,0.003919253
0.002558586,0.0039574
0.002522871,0.003873844
0.002538423,0.003907068
