Train MSE (Top 20 DE),Validation MSE (Top 20 DE)
0.21504237,0.23573373
0.34947762,0.31593367
0.27792558,0.27612403
0.20296325,0.20209835
0.12714404,0.15752317
0.14319962,0.14864114
0.146245,0.15667693
0.14519331,0.16200526
0.14027397,0.15440279
0.13848662,0.15135886
0.13452852,0.14926353
0.14118761,0.15326603
0.13584155,0.14921618
0.13072951,0.14481534
0.12847579,0.14306743
0.13513371,0.14854449
0.13236241,0.14724888
0.12756214,0.14064947
0.13338508,0.14466149
0.13118976,0.14496408
0.1354735,0.14858378
0.13491277,0.14794503
