AHR+FEV,AHR+ctrl,ATL1+ctrl,BAK1+ctrl,C19orf26+ctrl,CEBPA+ctrl,CEBPE+CEBPA,CEBPE+CNN1,CEBPE+KLF1,CEBPE+ctrl,CITED1+ctrl,CNN1+ctrl,CNNM4+ctrl,CSRNP1+ctrl,DLX2+ctrl,ELMSAN1+ctrl,FEV+ctrl,FOSB+CEBPE,FOSB+OSR2,FOSB+ctrl,FOXA1+FOXF1,FOXA1+ctrl,FOXA3+FOXA1,FOXA3+ctrl,FOXF1+HOXB9,FOXF1+ctrl,FOXO4+ctrl,GLB1L2+ctrl,HES7+ctrl,HK2+ctrl,HNF4A+ctrl,HOXA13+ctrl,HOXB9+ctrl,HOXC13+ctrl,IER5L+ctrl,IGDCC3+ctrl,IKZF3+ctrl,IRF1+ctrl,JUN+CEBPA,JUN+ctrl,KIAA1804+ctrl,KIF18B+ctrl,KLF1+BAK1,KLF1+CEBPA,KLF1+FOXA1,KLF1+MAP2K6,KLF1+TGFBR2,KLF1+ctrl,KMT2A+ctrl,LHX1+ELMSAN1,LHX1+ctrl,LYL1+ctrl,MAML2+ctrl,MAP2K3+ELMSAN1,MAP2K3+IKZF3,MAP2K3+MAP2K6,MAP2K3+SLC38A2,MAP2K3+ctrl,MAP2K6+ELMSAN1,MAP2K6+IKZF3,MAP2K6+ctrl,MAP4K3+ctrl,MAP4K5+ctrl,MAPK1+IKZF3,MAPK1+TGFBR2,MAPK1+ctrl,MEIS1+ctrl,MIDN+ctrl,NIT1+ctrl,OSR2+ctrl,PRDM1+ctrl,PRTG+ctrl,PTPN13+ctrl,PTPN9+ctrl,RREB1+ctrl,RUNX1T1+ctrl,S1PR2+ctrl,SAMD1+TGFBR2,SAMD1+UBASH3B,SAMD1+ctrl,SGK1+S1PR2,SGK1+TBX2,SGK1+TBX3,SGK1+ctrl,SLC38A2+ctrl,SLC4A1+ctrl,SLC6A9+ctrl,STIL+ctrl,TBX2+ctrl,TBX3+ctrl,TGFBR2+C19orf26,TGFBR2+IGDCC3,TGFBR2+PRTG,TGFBR2+ctrl,TMSB4X+BAK1,TMSB4X+ctrl,TP73+ctrl,TSC22D1+ctrl,UBASH3B+OSR2,UBASH3B+ZBTB25,UBASH3B+ctrl,ZBTB1+ctrl,ZBTB25+ctrl,ZC3HAV1+CEBPA,ZC3HAV1+ctrl,ZNF318+ctrl,ctrl
0.011046015,0.0030667298,0.0047166524,0.0029988536,0.001673506,0.013902589,0.01026793,0.004767688,0.0027084732,0.007828818,0.006327457,0.002235344,0.0027691936,0.0016562254,0.0035386258,0.0019271391,0.0041597337,0.012581725,0.00700897,0.0026046657,0.007542968,0.0024741176,0.007991898,0.0035436733,0.009101962,0.0022002251,0.0059894407,0.0025728215,0.017254576,0.0027701268,0.0077184895,0.010250073,0.003959128,0.007208298,0.0057859803,0.0031910418,0.008130191,0.0065395124,0.022135561,0.0059723444,0.0032937226,0.0020099457,0.004685631,0.012457845,0.005135555,0.003749977,0.0041370713,0.0031277868,0.0033286607,0.0057876008,0.0040416513,0.0028838394,0.0017510694,0.004236814,0.006083588,0.0030947344,0.0034374523,0.0024516352,0.0034676439,0.006382231,0.0025398175,0.0029047353,0.0030327928,0.008011217,0.0066623786,0.0065777097,0.002265383,0.0062786867,0.008704491,0.0038077864,0.0077825417,0.0031991887,0.005414789,0.003545013,0.0032669108,0.0023496968,0.0027774416,0.008779005,0.008688642,0.0056498228,0.007814115,0.0071058394,0.0070071123,0.0045668255,0.002621144,0.0042026043,0.003800671,0.0035084165,0.0037825769,0.0035789618,0.0047771237,0.0041451855,0.004491552,0.0019795862,0.0048105,0.0030800444,0.014084296,0.0024957806,0.0025539969,0.0067541394,0.0025695423,0.0031440328,0.0019009241,0.011335056,0.0018320489,0.0019216754,0.0009850108
0.011848956,0.0047137844,0.0073815733,0.003231465,0.004370369,0.0140221715,0.019142827,0.0058127185,0.004997204,0.0061778557,0.0077410843,0.005003206,0.0048160497,0.004502094,0.005295899,0.004555409,0.008067492,0.007460463,0.0044266167,0.004708899,0.0069890693,0.006015516,0.010471853,0.008018053,0.0074266773,0.004908826,0.0072540734,0.0053367577,0.014034397,0.0058368347,0.0102636395,0.010503456,0.005601402,0.00967459,0.006293576,0.0061635077,0.008584506,0.008451234,0.019479945,0.0075698197,0.0046316436,0.005655932,0.0038604366,0.0073499572,0.005043525,0.0041802465,0.004356714,0.004752004,0.0052320827,0.004777457,0.006444796,0.005142248,0.0041770847,0.004398776,0.0069993925,0.0023498498,0.0027206566,0.0043399804,0.0030876135,0.007239971,0.0038520969,0.0043095546,0.00442049,0.00787191,0.0039636386,0.0060057924,0.0050087934,0.007322817,0.010036843,0.0042063664,0.009556501,0.006115375,0.0053441967,0.005074219,0.0056311167,0.0048873127,0.0059066247,0.009946186,0.00737687,0.0070463293,0.0076240865,0.0067653907,0.0061309207,0.0063164644,0.0035193656,0.006672843,0.0041457973,0.005882661,0.0059130546,0.005442075,0.0060983337,0.005829529,0.006576074,0.0038025992,0.0029410212,0.0047941734,0.013542784,0.0046515944,0.0025607927,0.007930182,0.003562275,0.005842801,0.004892659,0.011298956,0.004251856,0.004650228,0.0042906078
0.010430837,0.0031192352,0.004722103,0.002916296,0.0022480784,0.011446514,0.014528908,0.0044775447,0.002335845,0.004372066,0.005485116,0.0030249096,0.0029076168,0.0016064165,0.002860504,0.0019474437,0.0046298592,0.0077270744,0.004331483,0.0019145138,0.0064656395,0.0025026165,0.0076816813,0.0034430472,0.0070906696,0.0022196923,0.0056815287,0.0023981677,0.013538257,0.0027518552,0.0070625916,0.00821539,0.0034589965,0.006255499,0.0068291854,0.0037669376,0.0084740985,0.0070458516,0.019435583,0.00556833,0.0034874342,0.0019210106,0.0041752663,0.0075095687,0.0056827883,0.0037272135,0.0042488794,0.0037517156,0.0037328852,0.0036825968,0.003427464,0.002726859,0.0016789979,0.0036403132,0.0069237337,0.0023571947,0.0021352777,0.002315964,0.002502106,0.0072121737,0.0020353342,0.0026757026,0.0029963942,0.007327535,0.003735279,0.0044795987,0.0021845459,0.005263409,0.008035893,0.0028051576,0.00783051,0.0042021945,0.004999859,0.0036237205,0.0032725378,0.0017179773,0.0034282752,0.009497573,0.0094828475,0.0058424803,0.0073685544,0.007212854,0.0063748797,0.0054445486,0.0019052328,0.0041906475,0.003474878,0.003289859,0.0037125808,0.003275587,0.005768073,0.0048559024,0.006003345,0.0021922453,0.003764797,0.002913071,0.012375494,0.0022089463,0.0013545532,0.007536911,0.003035406,0.003618311,0.0020897835,0.01153406,0.0019299737,0.0019609625,0.00095743814
0.0103167165,0.001867078,0.003578526,0.00043981685,0.0011930558,0.009214474,0.011198591,0.0032074768,0.0019801501,0.0031405226,0.0036382864,0.0018348113,0.0015910806,0.0009269492,0.0020395014,0.00087838544,0.004192811,0.00704876,0.004313556,0.0011992614,0.0050106985,0.0015918385,0.006235584,0.0022566626,0.0055585885,0.00088670326,0.004023482,0.0016536204,0.009934512,0.0016799906,0.0051767225,0.0057462226,0.0020558839,0.0042704768,0.0030843168,0.001981691,0.004988326,0.0050270655,0.016988974,0.003936723,0.0014064197,0.0018091288,0.0022200756,0.0071324985,0.003832172,0.0023421813,0.0027237458,0.0018847715,0.0017236703,0.0029570437,0.0026742537,0.0014557427,0.00076059386,0.0030015865,0.004740765,0.001262876,0.0017719184,0.0011232813,0.001809572,0.0046910876,0.00074492116,0.0011034831,0.0011573811,0.005265662,0.0028649538,0.0031588767,0.0010398951,0.0035215758,0.0066722236,0.0018199303,0.0056123226,0.0028338465,0.002470191,0.001552988,0.002261106,0.0006489675,0.0021859892,0.0070045823,0.005044189,0.0023408572,0.005304291,0.004427837,0.0039766473,0.0028755253,0.0010777325,0.0031263633,0.001643203,0.0018790233,0.002352775,0.002522417,0.004695576,0.0033296794,0.004278887,0.0007468371,0.001769795,0.0013771255,0.009334232,0.0013227245,0.0010165537,0.0053596557,0.0012741035,0.0022694163,0.0013666203,0.009553439,0.0011342389,0.0008939598,0.00021921884
0.0073229307,0.0019429671,0.002864457,0.00040627396,0.0010459974,0.00766937,0.010156972,0.004066839,0.0041601346,0.0030408269,0.0028124857,0.0018349655,0.0015457375,0.0013426438,0.0019093982,0.001023993,0.0035842524,0.0059518022,0.0041168123,0.0015445384,0.003780271,0.0012956102,0.004943004,0.0016157165,0.004233755,0.00079935906,0.003476607,0.0013763357,0.008811658,0.0016783045,0.0046743937,0.004740288,0.0018016527,0.0033358373,0.0026381467,0.0018381114,0.0037217678,0.0046454384,0.015506535,0.0034979875,0.0013322616,0.0014631591,0.0028339624,0.0067562186,0.003920899,0.0028680577,0.00335924,0.0014995587,0.0016767185,0.0036700317,0.0027428642,0.0012175635,0.0009019044,0.0042278925,0.0039140936,0.0015685516,0.0032265135,0.0013067804,0.0030130374,0.0037570987,0.0009327676,0.0010037426,0.0010395268,0.0056715463,0.0031450165,0.0031283775,0.0007737348,0.0032126294,0.00621691,0.0017095639,0.004569205,0.001929913,0.0021440096,0.0014017628,0.001900695,0.00071366195,0.002088104,0.0066145402,0.004105607,0.0022302659,0.004493425,0.003952983,0.0046887984,0.002103126,0.001461331,0.0031232892,0.0017530551,0.0021588337,0.0021936325,0.002763553,0.002533665,0.0035856632,0.0034720283,0.0006164107,0.0020203611,0.001261606,0.006901509,0.0012251887,0.0019202882,0.0034656604,0.000788885,0.0018940216,0.0011788862,0.008529987,0.0012963435,0.0009543378,0.0002720675
0.00773952,0.0019776353,0.0029011646,0.00055569777,0.0010001682,0.009242045,0.015073144,0.0041741845,0.0036581499,0.0036878933,0.0033366855,0.0017677491,0.0014806294,0.0014149523,0.0022871636,0.001027766,0.0038138058,0.0057931268,0.0037659544,0.0016564435,0.0038926038,0.0015718219,0.005058179,0.0020488445,0.004680899,0.0011233513,0.0038500668,0.0015375004,0.010071992,0.0016271091,0.0049286215,0.0051627248,0.002167366,0.0037750925,0.00290834,0.0017917955,0.0037529303,0.0047155167,0.015979633,0.0039083064,0.0013468966,0.0015677942,0.0019764544,0.0058521866,0.0029748732,0.0021301724,0.0019054438,0.001584362,0.0017809209,0.003129956,0.0034828668,0.001277378,0.00093854347,0.003112174,0.003100781,0.0011863501,0.00177251,0.0012613253,0.0018682018,0.0030876817,0.00093727733,0.0013097898,0.0012708294,0.004495194,0.002475004,0.0030979142,0.0010525525,0.0035245437,0.0069599636,0.0019412828,0.0047888467,0.0020367543,0.002595918,0.0014345759,0.0018214678,0.0007714843,0.0020302394,0.0055440916,0.0036327401,0.0020850184,0.0040765745,0.0037493869,0.0037659307,0.0023711137,0.0011594618,0.0033195212,0.0015716942,0.0020790587,0.0022878323,0.002900525,0.0022284926,0.0021997672,0.002496471,0.0005403714,0.001824096,0.0014173266,0.0070023458,0.0013394944,0.0011800233,0.0034548286,0.000732977,0.0019367243,0.0011885745,0.009975599,0.0015643138,0.0011525768,0.00021828772
0.0074955113,0.0017325932,0.002873737,0.00036057486,0.00086477963,0.006485684,0.006069005,0.002912372,0.0018975541,0.0024130996,0.0028250562,0.0016657105,0.0014832084,0.0008770081,0.0018173828,0.0007123161,0.0036292437,0.0055934,0.0030563804,0.0010903152,0.0036451295,0.0012694974,0.0046292213,0.0017604874,0.004169522,0.00073448726,0.0035025605,0.0013844531,0.008636378,0.0014507142,0.0045997757,0.004630685,0.0017441126,0.0033697388,0.003602303,0.0018101141,0.0036300481,0.004758468,0.0137216505,0.0033882412,0.0015693293,0.0014162499,0.0018464,0.005082506,0.003019591,0.0019788793,0.0018235747,0.0013796919,0.0015658843,0.0025473724,0.0023613917,0.0011703589,0.00069810415,0.0028095974,0.0029215955,0.0012268107,0.0015602846,0.0010216808,0.0017255221,0.0029256376,0.0006911972,0.0009369542,0.00097237964,0.004227663,0.0025077916,0.0028571845,0.0007698136,0.0029498513,0.0061930525,0.0016115583,0.0045449403,0.002227211,0.0021528103,0.0013777013,0.0017784524,0.00048407374,0.001926803,0.005255104,0.0035765383,0.0017956145,0.0038302415,0.0034454658,0.0032360035,0.0023681042,0.0010331527,0.0029179547,0.0015560682,0.0015975962,0.0022047726,0.0020413364,0.0024440112,0.0020377878,0.0024548334,0.000543139,0.0016419973,0.0012291119,0.006718924,0.0011574518,0.00091277814,0.0035794838,0.0009072495,0.0019231626,0.0011044464,0.0073298197,0.0010923777,0.000780572,2.2248581e-05
0.007497056,0.0016173318,0.0027898452,0.0003147304,0.00078088994,0.006444438,0.0063559655,0.0031467958,0.0022281748,0.002205185,0.0027115287,0.0015881069,0.0014029017,0.0008804293,0.0017056204,0.00072159036,0.0035781052,0.005133783,0.0028736927,0.0010107057,0.003674217,0.0011386244,0.0047467127,0.0015617593,0.0041515394,0.0006483176,0.0033740425,0.0012831489,0.008483113,0.0013794502,0.004438858,0.004528848,0.001657365,0.003261892,0.003153104,0.0016670257,0.003595102,0.004618444,0.013393654,0.003304177,0.0014232965,0.0013672642,0.0018555637,0.004880196,0.0029449742,0.002044622,0.001826283,0.0013675191,0.0015406044,0.0026400026,0.0023353968,0.0010759329,0.0006971505,0.002897329,0.0030777284,0.0011780909,0.0015941246,0.001032124,0.0017687138,0.0030729389,0.0007015792,0.0008951336,0.0009284324,0.00430863,0.0023940594,0.002800016,0.00070127466,0.002922154,0.006158814,0.0015395646,0.004540594,0.001966816,0.002089984,0.0012941154,0.0016984199,0.00047225071,0.0018634085,0.005439969,0.0036107304,0.0017752855,0.0038979033,0.003580108,0.0034285986,0.0021966558,0.0009853631,0.0028750254,0.0014669149,0.0015313914,0.0021161302,0.002282248,0.002255273,0.0021349615,0.002510719,0.00049325125,0.0014521298,0.0011741744,0.0067170635,0.0010407189,0.0008912914,0.0036979034,0.0007439655,0.0018343248,0.0010700884,0.0073032477,0.001106458,0.00076199125,6.2977146e-05
0.0073078065,0.0015999606,0.0027219518,0.0003202069,0.00076805224,0.006337581,0.0066734836,0.00298962,0.00210231,0.0021896488,0.0026978906,0.0015554365,0.0013924104,0.0008916907,0.0017119924,0.0007168824,0.0035216594,0.0050303307,0.002881784,0.0010117036,0.003530561,0.0011284966,0.004591168,0.0015470709,0.004048972,0.0006410135,0.0033598267,0.001278977,0.008472607,0.0013720026,0.0044161137,0.0044845515,0.0016454746,0.0032274118,0.0030216645,0.0016205626,0.0034985754,0.004613826,0.013272816,0.0033064543,0.0013785678,0.0013566415,0.0018484892,0.004822222,0.0028748496,0.002038165,0.0018043617,0.0013550619,0.0015181551,0.002506869,0.0023370937,0.0010693434,0.0007053684,0.002946183,0.0029411206,0.0011511762,0.0016333398,0.0010435572,0.0017707647,0.0029173996,0.00071267015,0.0008947689,0.0009275895,0.0042162132,0.002397767,0.0027921454,0.0006916549,0.0028944726,0.0061516957,0.0015327994,0.0044506574,0.0019001138,0.0020771422,0.0012845881,0.0016865468,0.00046232177,0.0018437796,0.005308837,0.003556714,0.0017560698,0.0038246985,0.0034541455,0.0032797738,0.0021706237,0.0009818358,0.0028689236,0.0014557806,0.001530182,0.0021027776,0.002270229,0.002196927,0.0020546098,0.0024309112,0.0004891393,0.0014553401,0.0011717541,0.0065640667,0.0010400913,0.0008882429,0.0035354933,0.0007302914,0.001794119,0.0010462208,0.007326656,0.0011197346,0.0007529203,9.631938e-05
0.007295403,0.0016347609,0.002765326,0.0003300499,0.0007960455,0.0065354267,0.007870313,0.0031077322,0.0020303389,0.0021091772,0.0027511278,0.0015954785,0.0014444306,0.0008706049,0.0017614325,0.0007115395,0.0035503367,0.0047674403,0.0027287428,0.000987839,0.0036659052,0.0011706227,0.0047767856,0.0016105424,0.0042443275,0.00068123563,0.0034236817,0.001321742,0.0086684935,0.0014186489,0.004471201,0.0046037845,0.0016944184,0.003340901,0.003377693,0.0017087593,0.0035065992,0.004699264,0.013485087,0.0034112888,0.001495505,0.0014067839,0.0017828244,0.0046730097,0.002895854,0.00196717,0.0017706268,0.0013331634,0.0015601891,0.0025398775,0.002367642,0.001128931,0.0006947977,0.0028566206,0.0028932232,0.001171156,0.0015759065,0.0010213515,0.0017410977,0.0028953895,0.00069401506,0.00092422613,0.0009693784,0.00426447,0.0024238464,0.002773928,0.0007340215,0.0029849175,0.006221966,0.0015562627,0.004471037,0.00197775,0.0021142263,0.0013472555,0.0017236025,0.00047972074,0.0018837616,0.0054155714,0.0035636772,0.0017840724,0.003862321,0.0035733446,0.0034405105,0.0022863,0.0009927766,0.0029083441,0.001522841,0.0015672116,0.0021642477,0.002322653,0.0022465491,0.0020535402,0.0024247144,0.00053268735,0.0014946725,0.0011929442,0.006668221,0.0010889546,0.0008921324,0.0035664588,0.0008093646,0.0018392105,0.0010766223,0.0075304266,0.0011013142,0.00078409986,3.168491e-05
