Train Overall MSE,Validation Overall MSE
0.026838686,0.027794318
0.007828754,0.010012242
0.004067684,0.00527294
0.003205209,0.004657905
0.003321396,0.004632839
0.003073671,0.004359686
0.003113737,0.004496221
0.003058947,0.004415418
0.002960676,0.004293033
0.00292873,0.004278994
0.002998557,0.004334458
0.002994221,0.004324789
0.003044961,0.004387977
0.003002739,0.004358179
0.003162288,0.004528693
0.003017161,0.004336338
0.003005858,0.004341851
0.003029777,0.004371753
0.002960324,0.004286511
0.003005231,0.004335756
