AHR+FEV,AHR+ctrl,ATL1+ctrl,BAK1+ctrl,BCORL1+ctrl,C19orf26+ctrl,CBFA2T3+ctrl,CBL+CNN1,CBL+UBASH3A,CBL+UBASH3B,CBL+ctrl,CDKN1C+ctrl,CEBPA+ctrl,CELF2+ctrl,CITED1+ctrl,CKS1B+ctrl,CNN1+MAPK1,CNN1+ctrl,CNNM4+ctrl,COL1A1+ctrl,COL2A1+ctrl,CSRNP1+ctrl,DLX2+ctrl,DUSP9+ETS2,DUSP9+KLF1,DUSP9+PRTG,DUSP9+ctrl,EGR1+ctrl,ELMSAN1+ctrl,ETS2+IKZF3,ETS2+ctrl,FEV+ctrl,FOSB+IKZF3,FOSB+OSR2,FOSB+UBASH3B,FOSB+ctrl,FOXA1+FOXF1,FOXA1+HOXB9,FOXA1+ctrl,FOXA3+FOXF1,FOXA3+HOXB9,FOXA3+ctrl,FOXF1+HOXB9,FOXF1+ctrl,FOXO4+ctrl,GLB1L2+ctrl,HES7+ctrl,HK2+ctrl,HNF4A+ctrl,HOXB9+ctrl,HOXC13+ctrl,IER5L+ctrl,IGDCC3+MAPK1,IGDCC3+PRTG,IGDCC3+ZBTB25,IGDCC3+ctrl,IKZF3+ctrl,IRF1+SET,IRF1+ctrl,ISL2+ctrl,JUN+CEBPA,JUN+ctrl,KIAA1804+ctrl,KIF18B+KIF2C,KIF18B+ctrl,KIF2C+ctrl,KLF1+BAK1,KLF1+CEBPA,KLF1+FOXA1,KLF1+MAP2K6,KLF1+TGFBR2,KLF1+ctrl,KMT2A+ctrl,LHX1+ELMSAN1,LHX1+ctrl,LYL1+IER5L,LYL1+ctrl,MAML2+ctrl,MAP2K3+ELMSAN1,MAP2K3+IKZF3,MAP2K3+MAP2K6,MAP2K3+ctrl,MAP2K6+IKZF3,MAP2K6+ctrl,MAP4K3+ctrl,MAP4K5+ctrl,MAPK1+IKZF3,MAPK1+TGFBR2,MAPK1+ctrl,MEIS1+ctrl,MIDN+ctrl,NCL+ctrl,NIT1+ctrl,OSR2+ctrl,PRDM1+CBFA2T3,PRDM1+ctrl,PRTG+ctrl,PTPN13+ctrl,PTPN9+ctrl,RREB1+ctrl,RUNX1T1+ctrl,S1PR2+ctrl,SET+ctrl,SGK1+S1PR2,SGK1+ctrl,SLC4A1+ctrl,SLC6A9+ctrl,SNAI1+UBASH3B,SNAI1+ctrl,STIL+ctrl,TBX2+ctrl,TBX3+TBX2,TBX3+ctrl,TGFBR2+IGDCC3,TGFBR2+PRTG,TGFBR2+ctrl,TMSB4X+BAK1,TMSB4X+ctrl,TP73+ctrl,TSC22D1+ctrl,UBASH3A+ctrl,UBASH3B+CNN1,UBASH3B+OSR2,UBASH3B+PTPN9,UBASH3B+UBASH3A,UBASH3B+ZBTB25,UBASH3B+ctrl,ZBTB1+ctrl,ZBTB10+DLX2,ZBTB10+ELMSAN1,ZBTB10+SNAI1,ZBTB10+ctrl,ZBTB25+ctrl,ZC3HAV1+CEBPA,ZC3HAV1+HOXC13,ZC3HAV1+ctrl,ZNF318+ctrl,ctrl
0.025756335,0.027321814,0.02187466,0.022556184,0.027013283,0.026501069,0.028587874,0.02377651,0.029990181,0.023207638,0.02814934,0.024805808,0.031838134,0.023989944,0.02440461,0.024592306,0.029318757,0.023655888,0.024592882,0.028507473,0.028215831,0.028831419,0.02677381,0.027419234,0.024571948,0.024531577,0.021441517,0.02648859,0.028329492,0.026650561,0.027501792,0.026011206,0.030051906,0.029283714,0.030501558,0.026260383,0.025942082,0.025915375,0.025415758,0.027577274,0.024999404,0.023400487,0.027770033,0.026896775,0.02525429,0.025511347,0.029134173,0.026924776,0.026131306,0.026886582,0.021114986,0.019534811,0.033034027,0.029060002,0.02363732,0.023442654,0.02388297,0.035095982,0.029600896,0.025978943,0.04137935,0.025164474,0.025001477,0.032793295,0.025218887,0.027004985,0.026768405,0.0318333,0.027043916,0.03156528,0.028168604,0.026047913,0.024006288,0.02848086,0.027167507,0.016810784,0.024054877,0.029736327,0.035775732,0.025053728,0.029542143,0.028221183,0.02488255,0.027602619,0.03146247,0.030872608,0.02919303,0.030025413,0.026713567,0.025517723,0.026746975,0.02921022,0.026011532,0.024015024,0.02754712,0.024382535,0.022723865,0.029762182,0.026548602,0.025441654,0.0288422,0.0288687,0.028479125,0.028359292,0.023545278,0.027085826,0.023482382,0.028762601,0.027500244,0.027035572,0.027414791,0.032123525,0.026665168,0.02507657,0.024511835,0.024762345,0.024031408,0.023959007,0.023069615,0.025066804,0.027355904,0.021694776,0.032287586,0.024336187,0.027124148,0.023520017,0.023820285,0.024868885,0.030329853,0.025281288,0.029181965,0.02446372,0.025061136,0.03466765,0.027766405,0.028051684,0.025274564,0.029063646
0.015163486,0.007227195,0.0066071996,0.0033669975,0.0042713513,0.0039531416,0.0055455863,0.014021923,0.014703562,0.010537953,0.0055476585,0.006764198,0.016139302,0.0037308012,0.007949685,0.0089568775,0.010807152,0.00567763,0.004372354,0.006811899,0.00531692,0.004431874,0.004377068,0.010261567,0.011385597,0.013693185,0.0052284026,0.004024594,0.0050293286,0.010977624,0.0032444806,0.0076117534,0.011823378,0.0063579706,0.008550374,0.0028620968,0.008958907,0.011721388,0.004668141,0.010204242,0.0112832915,0.0041369335,0.0110147055,0.0035313165,0.006451972,0.003560621,0.010721055,0.0047615543,0.008562579,0.007626806,0.006955623,0.0029230022,0.01110273,0.015490608,0.009460902,0.004004725,0.00697619,0.016419794,0.00715193,0.0038817364,0.028744467,0.00868324,0.003445412,0.011573551,0.0035794359,0.003270634,0.011505139,0.015542306,0.010984392,0.010056369,0.011432159,0.005023105,0.004631531,0.010124095,0.005427861,0.0036613627,0.0035804138,0.0035304436,0.012143319,0.009607838,0.0068805786,0.0041007,0.0098727,0.0034555355,0.0031852904,0.0028053818,0.01219276,0.008449452,0.004514175,0.0035607263,0.005429326,0.006223082,0.009063772,0.0031546783,0.016576858,0.009733619,0.004748007,0.0049866796,0.0044386773,0.0042798948,0.0036661534,0.00512372,0.0075764423,0.014544408,0.006896628,0.005615267,0.0036727986,0.012034655,0.005736328,0.006004399,0.004686599,0.009896937,0.004401451,0.010885416,0.011460493,0.003833551,0.009223368,0.0036664228,0.012251517,0.003718402,0.0035594492,0.011453859,0.009663867,0.010191465,0.010155376,0.008875622,0.0033489694,0.005276551,0.017171456,0.011975577,0.016205702,0.01086913,0.0033846106,0.016349515,0.011003176,0.004158565,0.004734682,0.0039936914
0.008433617,0.0026075584,0.0034582037,0.0012980666,0.0023737228,0.0021366496,0.0022131922,0.0053605326,0.0071291174,0.0044777496,0.0022130823,0.0034811914,0.012445455,0.0020780307,0.0043428936,0.0040313224,0.0029280388,0.0025897452,0.0026150302,0.0057572383,0.005128187,0.0030079724,0.0029798711,0.002764381,0.004228423,0.0044758394,0.0029416103,0.0025881345,0.0027516338,0.004921913,0.0022800283,0.0050091017,0.004465811,0.0041260403,0.0020863942,0.0018671994,0.003991759,0.0050802347,0.0022525978,0.005296603,0.0062756827,0.002753696,0.00481348,0.0020515206,0.004238923,0.0023068765,0.011326095,0.0024373836,0.005158943,0.0028193595,0.0044513033,0.0022079935,0.0035034732,0.005161935,0.00529278,0.0021201156,0.00409842,0.009759785,0.0054474706,0.0022922123,0.020874979,0.0049592457,0.0025249303,0.0044378736,0.0022415835,0.0017823069,0.0032249864,0.009693358,0.0036666403,0.0032711758,0.0031658811,0.0031713657,0.0029473952,0.003453035,0.0035725175,0.003386635,0.0020447639,0.00217937,0.0046436735,0.0037917069,0.0021985753,0.002268584,0.0036187156,0.001923711,0.0022634962,0.0020093753,0.005127542,0.00297661,0.0033180753,0.0021437998,0.0036617473,0.002687655,0.0066672256,0.0021479505,0.010537123,0.005197223,0.0026646974,0.0031632066,0.0025455637,0.0027747117,0.0016447253,0.0034226198,0.0049479683,0.00619322,0.0031043964,0.0044141766,0.0022385896,0.0036781852,0.0029783228,0.003089881,0.0031080232,0.0043824487,0.0030244947,0.002908606,0.0035752265,0.001830253,0.0022866558,0.0024534243,0.0086516095,0.002057819,0.0016075063,0.0055992375,0.0023508435,0.004217502,0.0020385846,0.004073104,0.0014236135,0.002951861,0.0146676,0.006517498,0.011889292,0.0074514295,0.0023314406,0.011430377,0.0038669503,0.0025003818,0.0019492647,0.0028225842
0.007867267,0.0017312821,0.002519206,0.00037341737,0.0010087211,0.00081529684,0.0011548605,0.004972048,0.006947969,0.0037725016,0.0010703898,0.002825989,0.009442925,0.0011703938,0.0026969067,0.0034137268,0.002663539,0.001473112,0.001428113,0.004816831,0.0038300224,0.0011026792,0.001863135,0.0026107887,0.0037984154,0.003935566,0.0025876428,0.0015309035,0.0010248146,0.004265484,0.0014166126,0.0037995363,0.0040941346,0.003823383,0.002108099,0.0012664523,0.0038320248,0.004590309,0.0013046004,0.0050345664,0.0053583523,0.0017838178,0.004416824,0.0008814008,0.0035016835,0.0013091479,0.008608607,0.0015344729,0.0045640366,0.0018134537,0.003390136,0.0022368997,0.0031192224,0.004991452,0.004633868,0.0014985333,0.003310723,0.00926923,0.00466673,0.0007861451,0.018373376,0.0036447637,0.0013094781,0.0050383937,0.0014751448,0.00079579314,0.002465511,0.008186644,0.0034433692,0.002769926,0.0025648158,0.0017116636,0.001589718,0.0031529644,0.002478733,0.0047208373,0.00108058,0.0008328889,0.0041542356,0.003425506,0.0018275861,0.001413094,0.003231803,0.0009841622,0.001045443,0.0010437409,0.0045534656,0.002493606,0.0027791257,0.0007636484,0.0029228493,0.0015968292,0.0061943703,0.0016449123,0.009195818,0.0044291453,0.001709271,0.0022021998,0.0014400689,0.0017604773,0.00057362544,0.002132635,0.003973573,0.005132661,0.002115239,0.0028980726,0.0014853635,0.0036356922,0.0021245643,0.0017351944,0.002133582,0.0040279613,0.002128623,0.0026174637,0.0030840877,0.00055398536,0.0017887156,0.0012352355,0.0071797897,0.0011132774,0.00055806345,0.004990547,0.0018003209,0.0037810036,0.0019849965,0.0036073339,0.0006264908,0.001760207,0.0135056395,0.0058388175,0.010913731,0.005771216,0.0012744004,0.010321902,0.0032114363,0.0012541552,0.0008091799,0.0005356492
0.0073532555,0.0019860044,0.0027697901,0.00058767793,0.0014921249,0.001262162,0.0015727761,0.004096103,0.006113071,0.003197096,0.0013859082,0.003022477,0.010385365,0.0014737928,0.0031045307,0.0037145177,0.0026901437,0.0017748169,0.0018201118,0.0050494694,0.0040449216,0.0013036518,0.0023106236,0.0022812923,0.0037960603,0.0038672928,0.002534293,0.0018145221,0.0014076881,0.0042035873,0.0016614223,0.004183865,0.004158739,0.0037620573,0.002038818,0.0014907516,0.003612443,0.0044899043,0.0017775365,0.004628544,0.005125629,0.0021322516,0.004162045,0.0012485248,0.0038526712,0.0016908746,0.009041452,0.0018061579,0.0047776573,0.0023083705,0.003672386,0.0020222575,0.0030896896,0.005211318,0.004045837,0.0016164576,0.0034436495,0.008952862,0.0048865792,0.0011707719,0.019008009,0.0038070236,0.001611369,0.0041780095,0.0016388495,0.0010280756,0.0025023092,0.0090512335,0.0036302267,0.0025320686,0.0026848873,0.002159552,0.0020607805,0.0030662229,0.0029204553,0.0038744265,0.0014877388,0.0011804979,0.0036796508,0.0034279174,0.0015048772,0.0014707365,0.0032322248,0.0011029808,0.0014810644,0.0014151514,0.00443706,0.0024726863,0.0029087209,0.0010762078,0.0034713193,0.0020844964,0.0063955165,0.0018222638,0.008825112,0.004877448,0.0019527817,0.0024951836,0.0016650801,0.0020746104,0.0009239003,0.0023398797,0.004164164,0.0046865284,0.0022917686,0.0033349425,0.0017206377,0.0035552632,0.002451407,0.0022547776,0.0024375229,0.0038470135,0.002470345,0.0025010663,0.002861262,0.0009373356,0.001855012,0.0016098014,0.0076952497,0.0014666701,0.0009052205,0.0042647095,0.0017908416,0.003154526,0.0016569613,0.0030810004,0.0008470759,0.002069884,0.013183444,0.0056845704,0.010610369,0.0062214327,0.0014191344,0.010544161,0.0028833041,0.0013442825,0.0012055415,0.0013100855
0.0072585274,0.0017997812,0.0027829788,0.00048967614,0.0012572743,0.001055959,0.0012470819,0.0040719304,0.0059883334,0.0032490557,0.0012803244,0.002882615,0.009261749,0.0012593443,0.0028102268,0.0035214291,0.002432209,0.001812457,0.0016124315,0.0046462286,0.0038267288,0.0012112758,0.001880576,0.0021927806,0.0037662357,0.003673161,0.0026282151,0.0016422137,0.001140813,0.00411631,0.0014661512,0.0039747697,0.0037281343,0.003735191,0.0016296778,0.0013479374,0.0033976873,0.0040905895,0.001509725,0.004100515,0.0046991496,0.0018086182,0.0038349223,0.0009933063,0.0035850706,0.001497843,0.008486869,0.0016046311,0.004550681,0.0018477006,0.0033746727,0.0022400185,0.0025635841,0.004417133,0.004048885,0.0015968169,0.0034473184,0.008346272,0.0047212183,0.0009019993,0.01677851,0.003599821,0.001517254,0.0038880066,0.0015300689,0.00082442793,0.0024169318,0.00764817,0.0032903953,0.0025269939,0.002334474,0.0019926906,0.0017715832,0.0026660247,0.0025556576,0.0042282604,0.0012741139,0.0010083538,0.003636952,0.0033556423,0.0015036497,0.0015212978,0.0031577512,0.0011161286,0.0012055715,0.0011988635,0.0042843083,0.0023378795,0.0028063692,0.0009470727,0.0030205837,0.0018378956,0.00620775,0.0016869758,0.008739023,0.0047404915,0.001968307,0.0022920524,0.0015436677,0.0019451545,0.0006785939,0.002151499,0.003937018,0.0041995016,0.0022443174,0.0030607602,0.0015720188,0.0030426057,0.0021322505,0.0018440034,0.0023012632,0.0034108646,0.002234898,0.0021453993,0.0025928316,0.0007354781,0.0016876452,0.0014585585,0.0072623654,0.0012325908,0.0006578221,0.0043329867,0.0014211929,0.0031488591,0.0013855583,0.0030074525,0.0007615271,0.001996387,0.012734929,0.0053664935,0.009732053,0.0056772544,0.0012955408,0.009574647,0.0025015874,0.0013252192,0.0010407799,0.0010317045
0.0072975354,0.0018198887,0.0026344333,0.00037359263,0.0012167309,0.00096925936,0.0012943558,0.0039847684,0.0060005095,0.0031928841,0.001112126,0.0028326574,0.0102812555,0.001250308,0.00292135,0.0035025731,0.0025020929,0.0015855305,0.001576006,0.004776444,0.0038477527,0.00102518,0.0019702306,0.0020979154,0.0035605135,0.0035556904,0.002498339,0.0015910987,0.0010057618,0.004029372,0.0014516881,0.00388196,0.0037432285,0.0037276228,0.0016657023,0.0013182646,0.003493313,0.0043287124,0.0015277306,0.004356112,0.004973244,0.0018582409,0.0039888397,0.0009965696,0.0036271357,0.0014993389,0.008759378,0.0015963346,0.00463755,0.0019788686,0.0035502804,0.0020544266,0.0026752788,0.0044916314,0.003908088,0.0014485387,0.0032864127,0.008533388,0.004674074,0.00087587687,0.019256644,0.0036995816,0.0014787471,0.0041008764,0.001501979,0.00079833926,0.0022380354,0.008852202,0.0033076701,0.0023843916,0.0022039772,0.001768152,0.00173937,0.0028376258,0.0026744704,0.004071911,0.0012240479,0.0008562844,0.0034262193,0.0031942213,0.0013722125,0.0012561292,0.0030336678,0.00091454753,0.0011538339,0.0011391211,0.004302334,0.0023624937,0.0028060896,0.0009242312,0.0031824845,0.0018469694,0.0063708057,0.0016365065,0.008786921,0.0047593545,0.0017879021,0.002275074,0.0014829048,0.0019006726,0.0006405801,0.0021038665,0.0039159046,0.0044660624,0.002193826,0.0030768532,0.0015619748,0.003282317,0.0021987546,0.0019036403,0.0022506563,0.003634042,0.0022642068,0.002058068,0.0025529766,0.00058281433,0.0016493554,0.001439348,0.007563425,0.0012283308,0.0006250199,0.0042883726,0.0014455074,0.0031660052,0.0014384792,0.0029678696,0.00064560934,0.0018714088,0.012966239,0.0054456573,0.010578149,0.0061256057,0.0011501547,0.010407316,0.0027078404,0.0011635299,0.0009771414,0.0010357676
0.0072103506,0.0017983748,0.0026228277,0.0004039718,0.0012344928,0.000983508,0.001288385,0.003953236,0.006067951,0.0031797963,0.0011408797,0.0028172908,0.009872901,0.0012307118,0.0028374752,0.0034519779,0.0024202622,0.0015922366,0.0015687166,0.0047038696,0.0038491474,0.0010756277,0.0019493022,0.0020128405,0.0035643387,0.003533366,0.0024871551,0.001578256,0.0010357262,0.0039937925,0.0014508851,0.0038487248,0.003685559,0.0037329034,0.0015756229,0.0013473658,0.0034189213,0.004192614,0.0015031167,0.0042109867,0.004777857,0.0017585591,0.003897003,0.0009781223,0.0035262965,0.001493244,0.008583214,0.0015765805,0.004527582,0.0018896887,0.0034021367,0.0021246618,0.0026062066,0.004414214,0.0038704926,0.0014772835,0.003291652,0.008414425,0.0046664486,0.00088186737,0.018363062,0.0035841248,0.0015188487,0.0039191605,0.0014846483,0.0007902074,0.0022199221,0.008315626,0.0032294714,0.0023821853,0.002185818,0.0018261384,0.0017353834,0.002743747,0.0026428036,0.0040778583,0.0012204236,0.00087917165,0.003450925,0.0032174087,0.0014329806,0.0013755417,0.0030440143,0.0010116333,0.001136577,0.0011254813,0.004257909,0.0023455888,0.0028362009,0.0009207156,0.0030497042,0.0018452504,0.00623951,0.0016961704,0.00867206,0.0044816695,0.0017915622,0.002263814,0.0014646936,0.001880629,0.00064426236,0.0020627915,0.0038987794,0.0043076896,0.0021776808,0.003076451,0.001550873,0.0031279363,0.0021740308,0.001863094,0.0022322184,0.0034631544,0.002253249,0.002033066,0.002502854,0.000610246,0.0015808763,0.0014250984,0.0072942325,0.0012135702,0.00062548375,0.0042808237,0.0013214671,0.0031101247,0.0013536396,0.0029235699,0.0006763413,0.0018529113,0.012720054,0.0053791716,0.010157136,0.0059043225,0.0011409249,0.010045046,0.0025965646,0.0012474485,0.0009739933,0.001091828
0.007132563,0.0017236694,0.0025520178,0.00038578885,0.0011608279,0.0008994927,0.0012384112,0.00392912,0.0058456655,0.0032249691,0.0010239101,0.0027626986,0.00950548,0.0011803054,0.00276538,0.0033779459,0.0023223816,0.0014887962,0.0014992208,0.004642502,0.003815587,0.0010379978,0.0018639708,0.0018898668,0.00353684,0.0034319577,0.002481834,0.0015170628,0.0009766379,0.003964455,0.0014347675,0.0037566272,0.00346323,0.0037382222,0.0014403192,0.001296367,0.0033475722,0.0040409537,0.001402181,0.0039635715,0.004646519,0.0016864729,0.0037838584,0.0008901296,0.0034744625,0.0014263103,0.008436532,0.0015133849,0.0044760224,0.0017982479,0.0033072648,0.0021254756,0.0024065636,0.004119685,0.0038626727,0.0014434372,0.0032682952,0.008247914,0.004626874,0.0008342755,0.01732359,0.0035034511,0.0014133663,0.0036604612,0.0014330945,0.00073202455,0.0021877429,0.007763502,0.0030990771,0.0023520123,0.0021366465,0.001767023,0.0016724968,0.002570202,0.002545873,0.004264467,0.0011582907,0.0008418807,0.0033655397,0.0031753262,0.0013745625,0.0013107889,0.0029970254,0.0009551409,0.0010666936,0.0010573585,0.004162615,0.0023159513,0.002801715,0.00086012017,0.002966309,0.0017639473,0.0061589386,0.0016459185,0.008639473,0.0044018184,0.0017502707,0.0021876674,0.0013941064,0.0018130137,0.0005934469,0.0019919188,0.003855919,0.004046372,0.0021174497,0.0030118579,0.001503587,0.0028833768,0.0021145933,0.0017662194,0.0021771481,0.003211908,0.0021760112,0.0019451319,0.0023628082,0.0005765809,0.001489944,0.0013467537,0.0071430816,0.0011523559,0.00057366735,0.0043155868,0.0011399722,0.0030586342,0.0011991283,0.0028750182,0.000612143,0.0017801137,0.012599417,0.0053024385,0.009822084,0.0057280045,0.0010690205,0.009681128,0.0023610417,0.0011946341,0.0009058206,0.00086384284
0.0071407245,0.001667195,0.002542886,0.00038253475,0.0011127797,0.00086727535,0.0011909917,0.003963763,0.0058701243,0.0032498008,0.0010021693,0.0027349764,0.009143542,0.0011397296,0.0026667225,0.0033379782,0.0023253586,0.0014706751,0.001468725,0.0045705657,0.0037860605,0.0010383338,0.0017861632,0.0019074215,0.0035668365,0.0034531355,0.002504707,0.0014828136,0.0009705393,0.0039791856,0.0014229135,0.003700112,0.0034627076,0.0037568072,0.0014430167,0.0012754014,0.0033460045,0.0040202923,0.0013314133,0.003920299,0.004635898,0.0016025633,0.003818191,0.000826259,0.003417175,0.001385942,0.0083070295,0.0014790054,0.004398527,0.0016685,0.003209722,0.0021118098,0.0023999189,0.004130656,0.0038867693,0.0014468223,0.003278352,0.008236805,0.0046095643,0.0007987667,0.0167774,0.0033801326,0.0014462495,0.0036590183,0.0014034593,0.0006979472,0.002220047,0.007540186,0.0031083564,0.0023833571,0.0021703811,0.0017743391,0.0016329114,0.002560119,0.0024694288,0.004186207,0.001122971,0.00083365146,0.0034235828,0.0031977617,0.0014209318,0.0013272205,0.0030129594,0.00095814775,0.001023055,0.0010171053,0.0041675353,0.002323937,0.0027997356,0.0008142741,0.0028310856,0.0017063578,0.0060619637,0.0016294769,0.008659144,0.0042809434,0.0017506976,0.0021465006,0.0013547698,0.0017668824,0.0005646991,0.0019553537,0.003836755,0.00402224,0.0020905128,0.0029537654,0.0014741619,0.00286579,0.0020644094,0.0016866933,0.002151048,0.003182028,0.0021145367,0.0019684765,0.0023922718,0.00056837883,0.0015059954,0.0013014835,0.007046096,0.0011166532,0.00054469774,0.004348644,0.0011555036,0.0030752718,0.0012213773,0.0029032754,0.000608315,0.0017575627,0.012604138,0.0053027915,0.009702579,0.005484184,0.0010443985,0.009524792,0.002326693,0.001192432,0.000872463,0.00094314804
