Train Overall MSE (Top 20 DE),Validation Overall MSE (Top 20 DE)
0.29194084,0.34955218
0.18764275,0.2631225
0.19833238,0.35798165
0.19164506,0.36629385
0.19152904,0.32578024
0.14931087,0.26389885
0.20507231,0.35259956
0.16862829,0.2739713
0.14380999,0.25239223
0.13373202,0.25779846
0.16220605,0.24746785
0.18004808,0.28552318
0.14884292,0.28964454
0.1568617,0.24061093
0.23235479,0.3926076
0.24888678,0.37121052
0.14207615,0.22115578
0.23724565,0.4767291
0.1571077,0.2876396
0.14899132,0.2893309
0.15274751,0.2418074
0.2315144,0.26482764
0.19185917,0.32923245
0.18755254,0.36928245
0.38774166,0.4896036
0.22288474,0.3468079
4.602474,6.1730275
0.24564254,0.4106758
0.16488427,0.24290645
0.16735615,0.331085
