Train Overall MSE (Top 20 DE),Validation Overall MSE (Top 20 DE)
0.20803599,0.3281202
0.6639498,0.8505863
0.21442612,0.31983015
0.23310067,0.3306429
0.74110645,2.104056
0.17409,0.3069178
0.28973258,0.5034607
0.19668835,0.31876945
0.16931653,0.29485992
0.26005033,0.3526493
0.2630939,0.41636696
0.32594264,0.53346115
0.30167416,0.37144327
0.26120096,0.4719865
0.22396407,0.35954082
0.3943759,0.5540589
0.25087842,0.46369657
0.28831476,0.37952662
0.23845951,0.36327377
0.19011751,0.33686155
0.15759155,0.2697439
0.17597705,0.33442083
0.24666041,0.4112159
0.1870678,0.31989485
1.4107996,1.8559728
0.26239228,0.4718021
1.1263154,1.3326211
0.21012107,0.36559802
0.21842211,0.44088116
0.17755751,0.29206333
